UNITID,SCFA1N,SCFA1P,SCFA11N,SCFA11P,SCFA12N,SCFA12P,SCFA13N,SCFA13P,SCFA14N,SCFA14P,SCFA2,SCFY1N,SCFY1P,SCFY2,ANYAIDN,ANYAIDP,FGRNT_N,FGRNT_P,FGRNT_A,SGRNT_N,SGRNT_P,SGRNT_A,IGRNT_N,IGRNT_P,IGRNT_A,LOAN_N,LOAN_P,LOAN_A,SCUGFFN,SCUGRAD,UAGRNTT,UPGRNTN,AGRNT_N,AGRNT_P,AGRNT_A,PGRNT_N,PGRNT_P,PGRNT_A,OFGRT_N,OFGRT_P,OFGRT_A,FLOAN_N,FLOAN_P,FLOAN_A,OLOAN_N,OLOAN_P,OLOAN_A,UAGRNTN,UAGRNTP,UAGRNTA,UPGRNTP,UPGRNTT,UPGRNTA,UFLOANN,UFLOANP,UFLOANT,UFLOANA,AGRNT_T,FGRNT_T,PGRNT_T,OFGRT_T,SGRNT_T,IGRNT_T,LOAN_T,FLOAN_T,OLOAN_T,AIDFSIN,AIDFSIP,SCUGDGSK,SCUGNDGS,SCFA2DG,SCFY2DG,SCFY2ND,UDGAGRNTN,UDGAGRNTP,UDGAGRNTT,UDGAGRNTA,UNDAGRNTN,UNDAGRNTP,UNDAGRNTT,UNDAGRNTA,UDGPGRNTP,UDGFLOANP
149550,,,,,,,,,,,,61.0,25.0,247.0,49.0,80.0,32.0,52.0,4230.0,0.0,0.0,,21.0,34.0,340.0,43.0,70.0,5213.0,61,247,565391.0,121,45.0,74.0,3167.0,32.0,52.0,4230.0,0.0,0.0,,43.0,70.0,5213.0,0.0,0.0,,198,80,2856.0,49,507151.0,4191.0,132,53,709777.0,5377.0,142495.0,135355.0,135355.0,0.0,0.0,7140.0,224140.0,224140.0,0.0,49.0,80.0,247,0,,247.0,0.0,198,80,565391.0,2856.0,0,0,0.0,,49.0,53.0
149639,20.0,22.0,,,,,,,,,91.0,,,,20.0,100.0,20.0,100.0,6252.0,4.0,20.0,6286.0,20.0,100.0,20375.0,14.0,70.0,6742.0,20,91,1679288.0,25,20.0,100.0,27884.0,8.0,40.0,4977.0,20.0,100.0,4262.0,14.0,70.0,5304.0,2.0,10.0,10066.0,78,86,21529.0,27,113132.0,4525.0,53,58,377438.0,7121.0,557688.0,125046.0,39813.0,85233.0,25144.0,407498.0,94382.0,74250.0,20132.0,20.0,100.0,78,13,78.0,,,78,100,1679288.0,21529.0,0,0,0.0,,32.0,68.0
149727,915.0,12.0,889.0,97.0,25.0,3.0,1.0,0.0,0.0,0.0,7779.0,,,,631.0,69.0,385.0,42.0,6626.0,242.0,26.0,1407.0,109.0,12.0,2388.0,274.0,30.0,6780.0,915,7779,19759267.0,1562,448.0,49.0,7036.0,276.0,30.0,6531.0,377.0,41.0,1986.0,274.0,30.0,3387.0,274.0,30.0,3393.0,3327,43,5939.0,20,9053679.0,5796.0,870,11,3011706.0,3462.0,3151959.0,2551121.0,1802432.0,748689.0,340599.0,260239.0,1857584.0,927942.0,929642.0,631.0,69.0,5591,2188,5591.0,,,2880,52,18447699.0,6405.0,447,20,1311568.0,2934.0,28.0,16.0
149763,0.0,0.0,,,,,,,,,507.0,,,,,,,,,,,,,,,,,,0,507,1667210.0,213,,,,,,,,,,,,,,,,349,69,4777.0,42,492999.0,2315.0,386,76,2261899.0,5860.0,,,,,,,,,,,,507,0,507.0,,,349,69,1667210.0,4777.0,0,0,0.0,,42.0,76.0
149772,905.0,17.0,0.0,0.0,905.0,100.0,0.0,0.0,0.0,0.0,5394.0,,,,847.0,94.0,847.0,94.0,4995.0,493.0,54.0,5298.0,843.0,93.0,7590.0,404.0,45.0,6076.0,905,5394,43799293.0,2376,847.0,94.0,15632.0,487.0,54.0,4940.0,840.0,93.0,2172.0,398.0,44.0,5352.0,37.0,4.0,8776.0,5251,97,8341.0,44,11773923.0,4955.0,2706,50,18923515.0,6993.0,13240667.0,4230581.0,2405714.0,1824867.0,2611690.0,6398396.0,2454698.0,2130000.0,324698.0,847.0,94.0,5268,126,5268.0,,,5243,100,43789956.0,8352.0,8,6,9337.0,1167.0,45.0,51.0
149781,545.0,24.0,,,,,,,,,2277.0,,,,545.0,100.0,544.0,100.0,2124.0,39.0,7.0,5160.0,515.0,94.0,23052.0,302.0,55.0,6429.0,545,2277,45637589.0,476,545.0,100.0,24272.0,105.0,19.0,4728.0,544.0,100.0,1211.0,302.0,55.0,5236.0,23.0,4.0,15673.0,2257,99,20220.0,21,2261397.0,4751.0,1054,46,6622941.0,6284.0,13228009.0,1155203.0,496463.0,658740.0,201240.0,11871566.0,1941661.0,1581187.0,360474.0,545.0,100.0,2239,38,2239.0,,,2238,100,45611789.0,20381.0,19,50,25800.0,1358.0,21.0,47.0
149842,1619.0,13.0,1386.0,86.0,207.0,13.0,26.0,2.0,0.0,0.0,12015.0,,,,1357.0,84.0,937.0,58.0,4606.0,415.0,26.0,1808.0,481.0,30.0,1123.0,43.0,3.0,4659.0,1619,12015,27019807.0,2550,1100.0,68.0,5097.0,595.0,37.0,4657.0,750.0,46.0,2060.0,42.0,3.0,4448.0,1.0,0.0,13500.0,5225,43,5171.0,21,9069671.0,3557.0,258,2,1335023.0,5175.0,5606505.0,4315907.0,2770681.0,1545226.0,750403.0,540195.0,200332.0,186832.0,13500.0,1108.0,68.0,9111,2904,9111.0,,,5060,56,26398037.0,5217.0,165,6,621770.0,3768.0,28.0,3.0
150066,307.0,26.0,,,,,,,,,1159.0,,,,307.0,100.0,123.0,40.0,6861.0,122.0,40.0,7022.0,307.0,100.0,21089.0,208.0,68.0,6784.0,307,1159,25797880.0,423,307.0,100.0,26629.0,121.0,39.0,4727.0,82.0,27.0,3317.0,207.0,67.0,5284.0,22.0,7.0,14425.0,1100,95,23453.0,36,2088784.0,4938.0,749,65,5258787.0,7021.0,8174976.0,843905.0,571948.0,271957.0,856656.0,6474415.0,1411095.0,1093754.0,317341.0,307.0,100.0,1136,23,1136.0,,,1100,97,25797880.0,23453.0,0,0,0.0,,37.0,66.0
150136,3248.0,22.0,0.0,0.0,2935.0,90.0,313.0,10.0,0.0,0.0,14898.0,,,,3185.0,98.0,3082.0,95.0,3929.0,1297.0,40.0,7441.0,1872.0,58.0,7650.0,2965.0,91.0,6906.0,3248,14898,138343715.0,5000,3160.0,97.0,11418.0,1363.0,42.0,5409.0,3050.0,94.0,1553.0,2958.0,91.0,5401.0,319.0,10.0,14115.0,12922,87,10706.0,34,27008053.0,5402.0,11211,75,78021092.0,6959.0,36080474.0,12108185.0,7372956.0,4735229.0,9650856.0,14321433.0,20477490.0,15974763.0,4502727.0,3178.0,98.0,13896,1002,13896.0,,,12912,93,138286094.0,10710.0,10,1,57621.0,5762.0,36.0,81.0
150145,283.0,24.0,,,,,,,,,1168.0,,,,282.0,100.0,115.0,41.0,5430.0,101.0,36.0,7503.0,270.0,95.0,18765.0,176.0,62.0,6338.0,283,1168,22526887.0,441,279.0,99.0,23114.0,115.0,41.0,5252.0,13.0,5.0,1577.0,175.0,62.0,5479.0,13.0,5.0,12059.0,1030,88,21871.0,38,2188790.0,4963.0,665,57,4616442.0,6942.0,6448818.0,624475.0,603975.0,20500.0,757811.0,5066532.0,1115528.0,958765.0,156763.0,282.0,100.0,1144,24,1144.0,,,1027,90,22520053.0,21928.0,3,13,6834.0,2278.0,39.0,58.0
