UNITID,GRCOHRT,UGENTERN,PGRCOHRT,RRFTCT,RRFTEX,RRFTIN,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTEX,RRPTIN,RRPTCTA,RET_NMP,RET_PCP,STUFACR
235024,124.0,164.0,76.0,97.0,0.0,0.0,97.0,67.0,69.0,1.0,0.0,0.0,1.0,1.0,100.0,6.0
235088,,,,176.0,1.0,0.0,175.0,160.0,91.0,,,,,,,13.0
235097,1338.0,2064.0,65.0,1278.0,0.0,0.0,1278.0,857.0,67.0,26.0,0.0,0.0,26.0,10.0,38.0,19.0
235103,475.0,1841.0,26.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,12.0
235149,817.0,1774.0,46.0,1025.0,0.0,0.0,1025.0,618.0,60.0,470.0,0.0,0.0,470.0,197.0,42.0,15.0
235167,261.0,629.0,41.0,208.0,0.0,0.0,208.0,136.0,65.0,16.0,0.0,0.0,16.0,6.0,38.0,17.0
235237,1064.0,2387.0,45.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,21.0
235307,,,,79.0,0.0,0.0,79.0,26.0,33.0,,,,,,,17.0
235316,1216.0,1440.0,84.0,1311.0,0.0,0.0,1311.0,1214.0,93.0,0.0,0.0,0.0,0.0,0.0,,12.0
235334,241.0,493.0,49.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,14.0
235343,665.0,1635.0,41.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,12.0
235352,,,,12.0,0.0,0.0,12.0,9.0,75.0,,,,,,,20.0
235422,128.0,269.0,48.0,81.0,0.0,0.0,81.0,60.0,74.0,44.0,2.0,0.0,42.0,26.0,62.0,8.0
235431,525.0,1338.0,39.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,14.0
235501,,,,121.0,0.0,0.0,121.0,88.0,73.0,,,,,,,13.0
235547,,,,,,,,,,,,,,,,9.0
235583,,,,38.0,0.0,0.0,38.0,28.0,74.0,,,,,,,18.0
