UNITID,UGPO9_N,UGPO9_T,UGPO9_A,GPO9_N,GPO9_T,GPO9_A,PO9_N,PO9_T,PO9_A,UGDOD_N,UGDOD_T,UGDOD_A,GDOD_N,GDOD_T,GDOD_A,DOD_N,DOD_T,DOD_A
222938,40.0,660129.0,16503.0,,,,40,660129.0,16503.0,0.0,0.0,,,,,0,0.0,
222983,10.0,259252.0,25925.0,0.0,0.0,,10,259252.0,25925.0,0.0,0.0,,0.0,0.0,,0,0.0,
222992,1111.0,2110681.0,1900.0,,,,1111,2110681.0,1900.0,133.0,80182.0,603.0,,,,133,80182.0,603.0
223056,0.0,0.0,,,,,0,0.0,,0.0,0.0,,,,,0,0.0,
223083,11.0,87588.0,7963.0,,,,11,87588.0,7963.0,0.0,0.0,,,,,0,0.0,
223117,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,
223223,,,,6.0,126066.0,21011.0,6,126066.0,21011.0,,,,0.0,0.0,,0,0.0,
223232,441.0,10766143.0,24413.0,239.0,4303617.0,18007.0,680,15069760.0,22161.0,0.0,0.0,,0.0,0.0,,0,0.0,
223320,30.0,71344.0,2378.0,,,,30,71344.0,2378.0,0.0,0.0,,,,,0,0.0,
223427,550.0,889466.0,1617.0,,,,550,889466.0,1617.0,20.0,21899.0,1095.0,,,,20,21899.0,1095.0
223463,16.0,187358.0,11710.0,,,,16,187358.0,11710.0,0.0,0.0,,,,,0,0.0,
223472,8.0,119388.0,14924.0,,,,8,119388.0,14924.0,0.0,0.0,,,,,0,0.0,
223506,91.0,174685.0,1920.0,,,,91,174685.0,1920.0,3.0,3195.0,1065.0,,,,3,3195.0,1065.0
223816,2076.0,3639038.0,1753.0,,,,2076,3639038.0,1753.0,4360.0,5441034.0,1248.0,,,,4360,5441034.0,1248.0
223852,1.0,16000.0,16000.0,,,,1,16000.0,16000.0,0.0,0.0,,,,,0,0.0,
223898,83.0,232641.0,2803.0,,,,83,232641.0,2803.0,4.0,2730.0,683.0,,,,4,2730.0,683.0
223922,3.0,6319.0,2106.0,,,,3,6319.0,2106.0,0.0,0.0,,,,,0,0.0,
224004,91.0,1151956.0,12659.0,8.0,26025.0,3253.0,99,1177981.0,11899.0,5.0,13500.0,2700.0,0.0,0.0,,5,13500.0,2700.0
224013,0.0,0.0,,,,,0,0.0,,0.0,0.0,,,,,0,0.0,
224110,124.0,286850.0,2313.0,,,,124,286850.0,2313.0,7.0,5180.0,740.0,,,,7,5180.0,740.0
224147,250.0,2261321.0,9045.0,86.0,474667.0,5519.0,336,2735988.0,8143.0,14.0,38639.0,2760.0,25.0,45389.0,1816.0,39,84028.0,2155.0
224156,9.0,121574.0,13508.0,,,,9,121574.0,13508.0,0.0,0.0,,,,,0,0.0,
224226,97.0,1645696.0,16966.0,49.0,743533.0,15174.0,146,2389229.0,16365.0,0.0,0.0,,1.0,2250.0,2250.0,1,2250.0,2250.0
224244,6.0,78698.0,13116.0,,,,6,78698.0,13116.0,0.0,0.0,,,,,0,0.0,
224271,18.0,170000.0,9444.0,,,,18,170000.0,9444.0,9.0,36000.0,4000.0,,,,9,36000.0,4000.0
224305,,,,61.0,682582.0,11190.0,61,682582.0,11190.0,,,,2.0,2250.0,1125.0,2,2250.0,1125.0
224323,22.0,460988.0,20954.0,50.0,654749.0,13095.0,72,1115737.0,15496.0,0.0,0.0,,0.0,0.0,,0,0.0,
224350,549.0,671896.0,1224.0,,,,549,671896.0,1224.0,6.0,3638.0,606.0,,,,6,3638.0,606.0
224527,10.0,162559.0,16256.0,1.0,6100.0,6100.0,11,168659.0,15333.0,0.0,0.0,,0.0,0.0,,0,0.0,
224545,48.0,305165.0,6358.0,2.0,8484.0,4242.0,50,313649.0,6273.0,1.0,750.0,750.0,3.0,4181.0,1394.0,4,4931.0,1233.0
224554,235.0,1367399.0,5819.0,97.0,461258.0,4755.0,332,1828657.0,5508.0,23.0,24346.0,1059.0,33.0,47185.0,1430.0,56,71531.0,1277.0
224615,707.0,801826.0,1134.0,,,,707,801826.0,1134.0,56.0,41072.0,733.0,,,,56,41072.0,733.0
224642,597.0,1174263.0,1967.0,,,,597,1174263.0,1967.0,264.0,295353.0,1119.0,,,,264,295353.0,1119.0
224660,51.0,511136.0,10022.0,1.0,9518.0,9518.0,52,520654.0,10013.0,0.0,0.0,,0.0,0.0,,0,0.0,
224679,179.0,2300020.0,12849.0,,,,179,2300020.0,12849.0,0.0,0.0,,,,,0,0.0,
224712,,,,1.0,14951.0,14951.0,1,14951.0,14951.0,,,,0.0,0.0,,0,0.0,
224758,1.0,5138.0,5138.0,,,,1,5138.0,5138.0,0.0,0.0,,,,,0,0.0,
224776,45.0,683376.0,15186.0,0.0,0.0,,45,683376.0,15186.0,0.0,0.0,,0.0,0.0,,0,0.0,
224828,1.0,7983.0,7983.0,,,,1,7983.0,7983.0,0.0,0.0,,,,,0,0.0,
224891,11.0,31296.0,2845.0,,,,11,31296.0,2845.0,0.0,0.0,,,,,0,0.0,
224961,37.0,50672.0,1370.0,,,,37,50672.0,1370.0,0.0,0.0,,,,,0,0.0,
225043,1.0,17381.0,17381.0,,,,1,17381.0,17381.0,0.0,0.0,,,,,0,0.0,
225070,67.0,122719.0,1832.0,,,,67,122719.0,1832.0,0.0,0.0,,,,,0,0.0,
