UNITID,LEXP100K,LCOLELYN,LPBOOKS,LEBOOKS,LEDATAB,LPMEDIA,LEMEDIA,LPSERIA,LESERIA,LPCLLCT,LECLLCT,LTCLLCT,LPCRCLT,LECRCLT,LTCRCLT,LILLDYN,LILLDPR,LILLDRC,LILSYN,LSTOTAL,LSLIBRN,LSOPROF,LSOPAID,LSSTAST,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTOT,LSWMSOM
163657,1,2,31871.0,332241.0,108.0,1140.0,127130.0,0.0,165284.0,33011.0,624763.0,657774.0,4535.0,120229.0,124764.0,1,22.0,89.0,1.0,8.6,3.3,5.3,0.0,0.0,0.0,572408.0,2,0.0,8499.0,272391.0,10921.0,291811.0,0.0,850.0,850.0,865069.0,865069.0
163851,1,2,248892.0,441925.0,181.0,20592.0,247601.0,2216.0,95434.0,271700.0,785141.0,1056841.0,13777.0,28475.0,42252.0,1,3734.0,4238.0,1.0,40.0,15.0,5.0,10.0,10.0,2.0,1777066.0,1,407030.0,44248.0,778897.0,2429.0,825574.0,12876.0,222724.0,235600.0,3245270.0,2838240.0
163912,1,2,115134.0,432341.0,230.0,10334.0,39436.0,789.0,84829.0,126257.0,556836.0,683093.0,2983.0,1.0,2984.0,1,2673.0,2257.0,1.0,10.85,6.0,0.0,3.48,1.37,0.0,554222.0,2,0.0,20972.0,441414.0,11984.0,474370.0,16520.0,158546.0,175066.0,1203658.0,1203658.0
163976,1,2,76567.0,1232.0,18.0,1746.0,436.0,149.0,1250.0,78462.0,2936.0,81398.0,15100.0,26300.0,41400.0,1,243.0,210.0,1.0,7.85,3.0,0.0,1.0,3.85,1.0,279057.0,1,81903.0,10276.0,44242.0,3257.0,57775.0,0.0,46806.0,46806.0,465541.0,383638.0
164076,1,2,383974.0,861710.0,396.0,25268.0,1191635.0,24373.0,109642.0,433615.0,2163383.0,2596998.0,11709.0,924509.0,936218.0,1,5963.0,6868.0,1.0,58.0,25.0,13.0,12.0,8.0,1.0,2912153.0,1,1276920.0,488054.0,2063212.0,115491.0,2666757.0,1080.0,41228.0,42308.0,6898138.0,5621218.0
164085,1,2,8767.0,6859.0,65.0,878.0,0.0,7.0,24.0,9652.0,6948.0,16600.0,734.0,13093.0,13827.0,1,26.0,185.0,1.0,2.5,1.5,1.0,0.0,0.0,0.0,157823.0,1,8205.0,5017.0,35872.0,0.0,40889.0,0.0,401.0,401.0,207318.0,199113.0
164155,1,2,468582.0,112635.0,262.0,7805.0,14924.0,96214.0,122784.0,572601.0,250605.0,823206.0,15764.0,20371.0,36135.0,1,2406.0,2587.0,1.0,28.5,19.0,1.0,7.0,1.5,0.0,2269604.0,2,0.0,183640.0,1179620.0,84702.0,1447962.0,17550.0,42920.0,60470.0,3778036.0,3778036.0
164173,1,2,52597.0,799321.0,76.0,3996.0,62.0,65.0,54734.0,56658.0,854193.0,910851.0,1108.0,152460.0,153568.0,1,675.0,810.0,1.0,10.0,5.0,1.0,0.0,4.0,2.0,371487.0,2,0.0,29436.0,358501.0,0.0,387937.0,0.0,51576.0,51576.0,811000.0,811000.0
164216,1,2,144005.0,648108.0,125.0,2014.0,21.0,676.0,10984.0,146695.0,659238.0,805933.0,1471.0,46584.0,48055.0,1,180.0,1099.0,1.0,18.0,6.0,0.0,3.0,9.0,0.0,520056.0,2,0.0,5433.0,359790.0,19566.0,384789.0,23978.0,86069.0,110047.0,1014892.0,1014892.0
164270,1,2,184851.0,262137.0,129.0,15218.0,102132.0,1441.0,248575.0,201510.0,612973.0,814483.0,5709.0,143089.0,148798.0,1,1022.0,1262.0,1.0,17.01,5.67,3.0,3.0,5.34,0.0,657189.0,2,0.0,84257.0,653853.0,8079.0,746189.0,6623.0,99573.0,106196.0,1509574.0,1509574.0
